crossover_rate_subtree,crossover_rate_node_level,mutation_rate,tournament_size,experiment,generation,test_score,population
0.5,0.5,0.4,8,1,1,-2265.312990360237,40
0.5,0.5,0.4,8,1,2,-876.4607814334363,40
0.5,0.5,0.4,8,1,3,-1120.74371605969,40
0.5,0.5,0.4,8,1,4,-1519.7468093525708,40
0.5,0.5,0.4,8,1,5,-1519.7468093525708,40
0.5,0.5,0.4,8,1,6,-399.1191217135654,40
0.5,0.5,0.4,8,1,7,-358.61229474887193,40
0.5,0.5,0.4,8,1,8,-364.78755007356915,40
0.5,0.5,0.4,8,1,9,-364.78755007356915,40
0.5,0.5,0.4,8,1,10,-316.9158154442707,40
0.5,0.5,0.4,8,1,11,-364.78755007356915,40
0.5,0.5,0.4,8,1,12,-314.802627108828,40
0.5,0.5,0.4,8,1,13,-315.3052914760887,40
0.5,0.5,0.4,8,1,14,-316.9158154442707,40
0.5,0.5,0.4,8,1,15,-316.95401209801634,40
0.5,0.5,0.4,8,1,16,-316.9158154442707,40
0.5,0.5,0.4,8,1,17,-271.73303706748584,40
0.5,0.5,0.4,8,1,18,-314.73139868623866,40
0.5,0.5,0.4,8,1,19,-239.5613046132019,40
0.5,0.5,0.4,8,1,20,-345.22144992994,40
0.5,0.5,0.4,8,1,21,-313.0505820575779,40
0.5,0.5,0.4,8,1,22,-349.138050326069,40
0.5,0.5,0.4,8,1,23,-324.70344357357834,40
0.5,0.5,0.4,8,1,24,-349.138050326069,40
0.5,0.5,0.4,8,1,25,-360.3454663806747,40
0.5,0.5,0.4,8,2,0,-919.5052477608197,40
0.5,0.5,0.4,8,2,1,-919.5052477608197,40
0.5,0.5,0.4,8,2,2,-1391.9509075312722,40
0.5,0.5,0.4,8,2,3,-857.3825336348552,40
0.5,0.5,0.4,8,2,4,-857.3825336348552,40
0.5,0.5,0.4,8,2,5,-857.3825336348552,40
0.5,0.5,0.4,8,2,6,-856.0268175054939,40
0.5,0.5,0.4,8,2,7,-857.3825336348552,40
0.5,0.5,0.4,8,2,8,-560.0144662830978,40
0.5,0.5,0.4,8,2,9,-282.0265621394992,40
0.5,0.5,0.4,8,2,10,-282.0265621394992,40
0.5,0.5,0.4,8,2,11,-282.0265621394992,40
0.5,0.5,0.4,8,2,12,-282.0265621394992,40
0.5,0.5,0.4,8,2,13,-164.9630014359658,40
0.5,0.5,0.4,8,2,14,-212.9456710132148,40
0.5,0.5,0.4,8,2,15,-525.6664868778794,40
0.5,0.5,0.4,8,2,16,-525.6664868778794,40
0.5,0.5,0.4,8,2,17,-2032.5451553043135,40
0.5,0.5,0.4,8,2,18,-643.8662141317288,40
0.5,0.5,0.4,8,2,19,-525.6664868778794,40
0.5,0.5,0.4,8,2,20,-525.6664868778794,40
0.5,0.5,0.4,8,2,21,-241.08623798603023,40
0.5,0.5,0.4,8,2,22,-241.08623798603023,40
0.5,0.5,0.4,8,2,23,-241.08623798603023,40
0.5,0.5,0.4,8,2,24,-1152.5998318131565,40
0.5,0.5,0.4,8,2,25,-1152.5998318131565,40
0.5,0.5,0.4,8,3,0,-1836.7957244419467,40
0.5,0.5,0.4,8,3,1,-1398.2239841618457,40
0.5,0.5,0.4,8,3,2,-1392.2681258897173,40
0.5,0.5,0.4,8,3,3,-1882.9611994903737,40
0.5,0.5,0.4,8,3,4,-1414.538410416182,40
0.5,0.5,0.4,8,3,5,-1393.022905476665,40
0.5,0.5,0.4,8,3,6,-1410.5387645693845,40
0.5,0.5,0.4,8,3,7,-1414.538410416182,40
0.5,0.5,0.4,8,3,8,-1394.2857543477232,40
0.5,0.5,0.4,8,3,9,-1253.681959115431,40
0.5,0.5,0.4,8,3,10,-1709.687675123816,40
0.5,0.5,0.4,8,3,11,-1404.286954683941,40
0.5,0.5,0.4,8,3,12,-1230.7206145362125,40
0.5,0.5,0.4,8,3,13,-1263.1617215518943,40
0.5,0.5,0.4,8,3,14,-1187.5261969695516,40
0.5,0.5,0.4,8,3,15,-1238.5529088973828,40
0.5,0.5,0.4,8,3,16,-1260.8456173567006,40
0.5,0.5,0.4,8,3,17,-1260.6924176015941,40
0.5,0.5,0.4,8,3,18,-1141.5522396883478,40
0.5,0.5,0.4,8,3,19,-1239.4979798603995,40
0.5,0.5,0.4,8,3,20,-1238.0594477211544,40
0.5,0.5,0.4,8,3,21,-1241.1147423323432,40
0.5,0.5,0.4,8,3,22,-1241.285874135819,40
0.5,0.5,0.4,8,3,23,-1241.1147423323432,40
0.5,0.5,0.4,8,3,24,-1270.0911687753896,40
0.5,0.5,0.4,8,3,25,-1303.916455941876,40
0.5,0.5,0.4,8,4,0,-1176.8891696364399,40
0.5,0.5,0.4,8,4,1,-1160.1020850681602,40
0.5,0.5,0.4,8,4,2,-1301.3902519254757,40
0.5,0.5,0.4,8,4,3,-1287.7268467428541,40
0.5,0.5,0.4,8,4,4,-1394.9142562484537,40
0.5,0.5,0.4,8,4,5,-1069.8554798037385,40
0.5,0.5,0.4,8,4,6,-727.5498834756231,40
0.5,0.5,0.4,8,4,7,-646.8725218795013,40
0.5,0.5,0.4,8,4,8,-675.3493789869465,40
0.5,0.5,0.4,8,4,9,-488.95229737517343,40
0.5,0.5,0.4,8,4,10,-651.2816649393429,40
0.5,0.5,0.4,8,4,11,-896.2054444684386,40
0.5,0.5,0.4,8,4,12,-220.48585390342637,40
0.5,0.5,0.4,8,4,13,-326.0525804607938,40
0.5,0.5,0.4,8,4,14,-428.43083047449846,40
0.5,0.5,0.4,8,4,15,-210.03582077636327,40
0.5,0.5,0.4,8,4,16,-266.2106582574342,40
0.5,0.5,0.4,8,4,17,-210.03582077636327,40
0.5,0.5,0.4,8,4,18,-597.4768122988072,40
0.5,0.5,0.4,8,4,19,-409.8060995747486,40
0.5,0.5,0.4,8,4,20,-409.8060995747486,40
0.5,0.5,0.4,8,4,21,-238.77729593203225,40
0.5,0.5,0.4,8,4,22,143.2401174207754,40
0.5,0.5,0.4,8,4,23,143.2401174207754,40
0.5,0.5,0.4,8,4,24,-212.51367210816971,40
0.5,0.5,0.4,8,4,25,143.2401174207754,40
0.5,0.7,0.4,8,0,0,-1391.9509075312722,40
0.5,0.7,0.4,8,0,1,-1391.9509075312722,40
0.5,0.7,0.4,8,0,2,-1396.5585949327037,40
0.5,0.7,0.4,8,0,3,-495.50048962422704,40
0.5,0.7,0.4,8,0,4,-495.50048962422704,40
0.5,0.7,0.4,8,0,5,-528.8349637392115,40
0.5,0.7,0.4,8,0,6,-528.8349637392115,40
